名字,开放时间,评分,建议游玩时间,门票,来源城市
"中共中央西北局旧址Zhonggongzhongyang Xibeiju Site",8:00-17:00,4.8,1.5,20,延安
"枣园革命旧址Zaoyuan Revolution Former Site",08:00-18:00,4.6,1.5,0.1,延安
"延安民俗文化村",8:00-18:00,4,1,10,延安
"凤凰山革命旧址The Fenghuangshan Revolution Site",9:00-17:00,4.6,1,0,延安
"延安国家森林公园",9:00-21:00,3.7,2,10,延安
"孟门山Mengmen Mountain",06:30-22:30,4.7,1,60,延安
"万花山Wanhua Mountain",8:30-17:30,4.3,2.5,28,延安
"洛川会议旧址Luochuan Conference Former Site",8:00-18:00,4.7,1,2058,延安
"洛川民俗博物馆Luochuan Minsu Museum",8:30-11:30,4.8,2,30,延安
"长白山北坡景区Changbai Mountain North Slope Scenic Area",8:30-15:00,4.5,72,2900,延边
"大戏台河风景区Grand Stage River Scenic Area",09:00-21:00,4.3,2.5,188,延边
"魔界风景区Mojie (Devil) Scenic Area",05:30-17:30,4.2,1.5,87,延边
"满天星国家森林公园Gypsophila Scenic Area",08:00-18:00,4.2,3.5,10,延边
"奶头河Teat River",9:00-17:30,4.5,1.5,127,延边
"美人松苑Meiren Songyuan (North Gate)",6:00-17:00,4.5,0.75,2,延边
"长白瀑布Changbai Waterfall",7:30-18:00,4.6,1,6,延边
"防川风景区Fangchuan Scenic Spot",8:30-16:00,4.3,4.5,6,延边
"长白山东北虎林园Northeast Tiger Forest Park in Changbai Mountain",08:30-16:30,3.8,2.5,70,延边
"冰水泉",5:00-19:00,2,0.5,30,延边
"老里克湖Long Neck of the Lake",08:30-16:30,4.7,2.5,128,延边
"长白山传奇小镇",09:15-16:15,4.8,12,50,延边
"魔界快乐营",06:00-16:00,5,12,60,延边
"长白山梦幻森林峡谷",9:00-20:00,3,12,188,延边
"铁塔公园Tieta Park",8:00-18:00,4.3,1.25,60,开封
"铁塔Iron Tower",9:00-16:00,4.4,1.5,50,开封
"天波杨府Yang Familys Mansion in Tianbo",8:30-18:00,4.2,2.5,36,开封
"开封府Kaifeng City Hall Theme Park",07:30-19:00,4.4,2,61.8,开封
"开封包公祠Memorial Temple of Lord Bao",7:00-22:00,4.2,0.75,27,开封
"中国翰园China Hanyuan",8:00-18:00,4.5,1.5,35,开封
"繁塔Fanta Pagoda",9:00-17:30,4.2,1,7,开封
"山陕甘会馆Shanxi, Shaanxi and Gansu Province Hall",8:00-18:30,4.3,1,7,开封
"禹王台Yuwang Terrace (Yuwang Tai)",6:30-17:00,4.3,1.5,100,开封
"延庆观Yanqing Taoist Temple",9:00-17:30,3.2,1.5,7,开封
"朱仙镇岳飞庙Zhuxian Town Yuefei Temple",8:00-17:00,4.1,1,7,开封
"东京极地海洋馆Tokyo Polar Aquarium",8:30-17:30,3.7,3,150,开封
"爱思嘉农业嘉年华Aisijia Agritourism",09:00-18:00,4,12,28,开封
"暖泉古镇Nuanquan Ancient Town",9:00-17:00,4.3,12,7,张家口
"大好河山Dajingmen",08:00-18:00,4.4,3,10,张家口
"滦河神韵",9:00-16:00,4.8,2,60,张家口
"鸡鸣驿古城Jiming Post",08:30-17:30,3.9,3,36,张家口
"飞狐峪·空中草原Feihu Valley · Grassland in the Sky",7:00-19:00,4.3,4,80,张家口
"闪电湖Lightning Lake",7:00-20:00,3.9,2.5,30,张家口
"中华三祖圣地黄帝城遗址文化旅游区",8:30-17:30,4,1.5,57,张家口
"鸡鸣山旅游风景区Jiming Mountain",7:00-18:00,4.5,3,50,张家口
"元中都遗址Yuanzhongdou Ruins",9:00-17:00,4.4,1.5,30,张家口
"黄龙山庄旅游区Huanglong Villa Tourist Area",08:00-16:00,4.6,72,9,张家口
"蔚县博物馆Yuxian Museum",8:00-18:00,4.8,2.5,10,张家口
"张家界国家森林公园Zhangjiajie National Forest Park",07:30-18:00,4.6,180,4,张家界
"张家界大峡谷Zhangjiajie Grand Canyon",08:30-16:30,4.5,3.5,128,张家界
"张家界大峡谷景区（玻璃桥）Zhangjiajie Grand Canyon Glass Bridge",08:30-15:30,4.5,1.5,128,张家界
"天门山索道Tianmen Mountain Cableway",8:00-17:30,4.6,0.5,278,张家界
"天子山Tianzi Mountain",7:00-18:00,4.6,3.5,226,张家界
"天门山玻璃栈道Tianmen Mountain Glass Walkway",07:30-18:00,4.5,1.5,278,张家界
"黄石寨Huangshi Village",7:00-18:00,4.6,1.5,670,张家界
"宝峰湖景区Baofeng Lake Scenic Area",8:00-17:00,4.2,3.5,82.5,张家界
"十里画廊Ten mile Gallery Scenic Area",7:00-18:00,4.3,2.5,37.8,张家界
"武陵源Wulingyuan",07:30-18:00,4.5,180,4,张家界
"龙王洞旅游景区Dragon King Cave",7:30-17:00,4.4,2.5,65,张家界
"金鞭岩Jinbianyan Peak",7:00-18:00,4.5,0.2,1780,张家界
"天下第一桥First Bridge of the World",8:00-18:00,4.5,0.3,68,张家界
"乾坤柱Qiankun Column",8:00-17:00,4.6,0.4,68,张家界
"张家界朝阳地缝景区Zhangjiajie Chaoyang Difeng Sceneic Area",09:00-18:00,4.5,3.5,91,张家界
"天门洞Tianmen Cave",08:00-18:00,4.7,1,278,张家界
"天门山通天大道Tianmen Mountain Heaven-Linking Avenue",8:00-18:00,4.7,2,48,张家界
"贺龙公园Helong Park",7:00-18:00,4.5,1,68,张家界
"土家老院子Zhangjiajie Old Courtyard",9:00-17:00,3.9,1.5,75,张家界
"神兵聚会Immortals Party Scenic Area",7:00-18:00,4.5,1,0,张家界
"御笔峰Yubi Peak",7:00-18:00,4.7,0.4,0,张家界
"袁家寨子Yuanjia Village",8:00-17:00,3.9,2.5,62,张家界
"茶盘塔Chapan Tower",8:00-18:45,5,1.5,248,张家界
"鹰窝寨Eagle Nest Village",8:30-17:30,4.3,1.5,96,张家界
"百丈峡Baizhang Gorge",7:00-18:00,4.8,2.5,248,张家界
"长寿泉Changshou Spring",7:00-18:00,4.7,0.2,248,张家界
"张家界沧海桑田",09:00-17:00,5,12,110,张家界
"张掖七彩丹霞旅游景区Zhangye Danxia Geopark",07:30-17:00,4.7,4,93,张掖
"张掖大佛寺Zhangye Buddhist Temple",08:30-18:00,4.6,1.5,38,张掖
"平山湖大峡谷Pingshan Lake Grand Canyon",07:30-21:00,4.6,2.5,118,张掖
"张掖市博物馆",8:00-18:00,3,1,0,张掖
"张掖市博物馆Zhangye City Museum",8:00-18:00,4.1,1,0,张掖
"云龙湖旅游景区Yunlong Lake",9:00-17:30,4.7,5.5,4,徐州
"龟山汉墓Guishan Han Dynasty Tombs",8:30-17:00,4.6,1.5,72,徐州
"窑湾古镇Yaowan Ancient Town",09:00-17:00,4.4,4.5,0.7,徐州
"云龙山Yunlong Mountain",7:00-21:00,4.6,2.5,40,徐州
"狮子山楚王陵The Tomb of Chu King on the Shizi Mountain",8:30-17:00,4.5,1.5,78.5,徐州
"彭祖园Pengzu Garden",7:00-18:00,4.5,2.5,140,徐州
"云龙公园Yunlong Park",8:30-17:00,4.7,1.5,5,徐州
"徐州民俗博物馆Xuzhou Folk Custom Museum",9:00-16:30,4.4,1.5,25,徐州
"泉山森林公园Quanshan Forest Park",8:00-18:00,4.6,2.5,5,徐州
"潘安湖国家湿地公园Pan'an Lake Wetland Park",9:00-17:30,4.2,2.5,19.9,徐州
"戏马台Ximatai Ruins",08:30-17:00,4.4,1.5,2.5,徐州
"勐焕大金塔Menghuan Grand Golden Pagoda",08:30-18:30,4.5,1,38,德宏
"勐焕银塔Meng Huan Silver Tower",08:30-21:30,4.5,1.5,34.5,德宏
"芒令独树成林Ruili One Tree Forest",8:00-19:00,4.1,0.75,1800,德宏
"勐巴娜西珍奇园Mengba Naxi Rarity Park",8:00-18:00,4.4,3,38,德宏
"莫里热带雨林景区Moli Tropical Rainforest Scenic Area",8:00-18:00,4.6,1.5,35,德宏
"中缅友谊街Zhongmian Street",10:00-23:00,4.4,1,248,德宏
"风平佛塔Fengping Pagoda",9:00-17:00,5,2,10,德宏
"云南盈江国家湿地公园",8:30-19:00,4.4,2,25,德宏
"三仙洞Sanxian Cave (Cave of the Three Immortals)",10:00-18:00,4.7,2,24,德宏
"泉城欧乐堡动物王国Quancheng Oulebao Animal Kingdom",09:28-16:40,4.8,2.5,224.5,德州
"泉城欧乐堡海洋极地世界Quancheng Ocean and Polar World",08:30-17:30,4.7,3.5,174.3,德州
"德百旅游小镇椹仙村Shenxian Village, Debai Tourism Town",08:30-21:00,4.2,12,38.7,德州
"宁津德百杂技蟋蟀谷",09:00-18:00,3.6,12,30,德州
"山东百枣枣文化博物馆Shan Dongbaizaozao Culture Museum",9:00-11:00,4.5,2.5,0,德州
"三星堆博物馆Sanxingdui Archaeological Museum",8:30-17:00,4.7,2.5,72,德阳
"黄继光纪念馆Huangjiguang Memorial Hall (North Gate)",8:00-10:00,4.6,1.5,0,德阳
"三溪寺Sanxi Temple",7:00-18:00,4.6,1.5,10,德阳
"广汉·奇迹花田",09:00-18:00,3.4,2.5,68,德阳
"中江樱花岭",9:00-18:00,5,12,20,德阳
"罗江区庞统祠博物馆Luojiangqu Pangtongci Museum",9:00-17:00,3.5,2.5,25,德阳
"古名天下旅游景区Gumingtianxia Scenic Spot",08:30-17:00,2.7,12,98,德阳
"五台山Mount Wutai",8:00-23:00,4.6,180,135,忻州
"忻州古城Xinzhou Ancient City",07:00-23:40,4.5,1.25,79,忻州
"万年冰洞Million-year Ice Cave National Geopark",9:00-17:00,4.4,72,120,忻州
"显通寺Xiantong Temple",08:00-17:00,4.8,2.5,120,忻州
"五台山风景名胜区-菩萨顶Pusa Ding (Bodhisattva Top)",8:00-18:00,4.8,2,120,忻州
"杨忠武祠Yang Zhongwuci",8:00-18:00,4.6,1,20,忻州
"黛螺顶Dailuoding",8:00-18:00,4.7,1.5,9,忻州
"禹王洞Yu Wang Cave",8:00-19:00,4.5,1,50,忻州
"五爷庙Wuye Temple",8:00-18:00,4.7,2.5,70,忻州
"河边民俗博物馆Hebian Folk Museum, Xinzhou",8:00-18:00,4.2,1,6,忻州
"十方堂Shifang Temple",8:00-17:00,4.8,1,4,忻州
"通道芋头古侗寨Tongdao Yutou Ancient Dong Ethnicity Village",08:00-17:30,4.3,12,35,怀化
"洪江古商城Hongjiang Ancient City",8:00-17:00,4.5,72,88,怀化
"黔阳古城芙蓉楼Furong House, Qiangyang Ancient Town",8:00-17:30,4.4,0.75,55,怀化
"二酉山Eryoushan",8:00-18:00,4.5,3,30,怀化
"中国人民抗日战争胜利受降纪念馆Memorial Hall of the Victory of the Anti-Japanese War and the Acceptance of the Japanese Surrender",8:30-16:30,4.7,2.5,2,怀化
"怀化野生动植物园Huaihua Wildlife Park",09:00-18:00,4.1,2.5,88,怀化
"屏山峡谷Pingshan Grand Canyon",08:30-15:30,4.2,12,199,恩施
"恩施地心谷景区Enshi Dixin Valley Scenic Spot",08:00-15:00,4.4,3.5,105,恩施
"腾龙洞风景区Tenglong Cave",08:30-16:00,4.4,2.5,75,恩施
"神农溪纤夫文化走廊Shennong Stream Qianfu Cultural Tourism Area",08:30-17:30,4.4,2.75,95,恩施
"龙麟宫Longlin Palace",8:00-18:00,3.9,1.5,42,恩施
"云龙河地缝",08:00-16:00,4.4,3,50,恩施
"锣圈岩地质公园矅天眼景区",08:30-17:00,4,2.5,120,恩施
"巫峡口景区",08:30-18:00,3,12,120,恩施
"猕猴水寨",8:00-17:30,4,1.25,120,恩施
"惠州西湖Huizhou West Lake",8:00-21:00,4.6,12,4,惠州
"广东罗浮山风景名胜区Luofu Mountain",07:00-18:00,4.4,108,54,惠州
"三角洲岛Sanjiaozhou Island",9:00-16:30,3.8,5,118,惠州
"永记生态园Wing Kee Farm Park",8:30-18:00,4.2,4,54,惠州
"都江堰景区Dujiangyan Irrigation System",08:00-17:00,4.7,4,80,成都
"文殊院Wenshuyuan",08:00-17:00,4.6,1.5,0.9,成都
"西岭雪山Xiling Snow Mountain",09:00-17:30,4.6,4,120,成都
"杜甫草堂Du Fu's Thatched Cottage",09:00-18:00,4.6,2.5,50,成都
"熊猫谷Panda Valley",8:30-17:00,4.4,2.5,699,成都
"锦绣安仁奇境花园Jinxiu'anren Huahui Park",09:30-18:00,4.7,2.5,20,成都
"川西竹海景区Bamboo Canyon Scenic Area (Jinji Valley)",08:00-17:00,4.4,3.5,54,成都
"都江堰·玫瑰花溪谷Dujiangyan · Rose Valley",09:00-17:30,3.6,2.5,38.8,成都
"青羊宫Qingyang Palace",8:00-17:30,4.5,1.5,1,成都
"都江堰中华大熊猫苑（原熊猫乐园）Dujiangyan China Giant Panda Garden (formerly known as Panda Paradise)",08:30-16:30,4.6,2.5,53,成都
"四川建川博物馆聚落Jianchuan Museum Cluster",8:30-17:30,4.7,3,100,成都
"花水湾第一村温泉Huashuiwan First Village Hot Spring Hotel",10:00-23:55,4.4,2.5,98,成都
"鹤鸣茶社",6:30-22:00,4.6,0.75,12,成都
"成都爱道堂",8:30-17:00,5,1.5,0,成都
"望江楼公园Wangjiang Pavilion Park",08:00-18:00,4.6,2.5,1,成都
"成都永陵博物馆Chengdu Yongling",09:07-16:33,4.5,2.5,2,成都
"都江堰鱼嘴分水堤Dujiangyan Fish-mouth Water-dividing Dike",8:00-17:00,4.7,0.05,3,成都
"离堆公园Lidui Park",8:00-18:00,4.6,1.5,1,成都
"飞沙堰Feisha Dam",8:00-18:00,4.7,0.4,1,成都
"刘氏庄园博物馆Liu's Manor Museum",09:00-17:00,4.6,3,30,成都
"天师洞Tianshi Cave",8:30-17:30,4.6,0.4,3,成都
"昭觉寺Zhaojue Temple",8:00-17:00,4.6,1.5,8,成都
"瘦西湖Slender West Lake",06:30-17:30,4.7,4.5,95,扬州
"何园Ho Family Garden",07:30-18:00,4.7,1.5,42.4,扬州
"个园Geyuan Garden",7:30-17:00,4.7,1.5,42.4,扬州
"扬州古运河Yangzhou Ancient Canal",14:00-21:00,4.6,72,70,扬州
"汉广陵王墓博物馆Museum of Han Guangling King",8:30-17:00,4.6,2.5,25,扬州
"汪氏小苑Wang's Little Garden",7:15-17:45,4.3,1,30,扬州
"扬州八怪纪念馆Yangzhou Baguai Memorial Hall",08:30-17:00,4.2,1.5,20,扬州
"茱萸湾风景区Zhuyuwan Scenic Spot",07:00-16:30,4.6,12,43,扬州
"卢氏盐商住宅Residence of Salt Merchants Lu",9:00-11:00,4.2,1.5,7,扬州
"吴道台府Wu Daotai House",9:00-17:00,4.3,1.5,20,扬州
"馥园Fuyuan Garden",7:30-17:30,4.5,1,0,扬州
"捺山地质公园Nashan Geological Park",8:00-17:00,4.4,2.5,66,扬州
"高邮湖芦苇荡湿地公园Gaoyou Lake Reed Wetland Park",8:00-18:00,4,2.5,55,扬州
"高邮湖滩郊野公园Gaoyouhu Jiaoye Park",5:30-17:30,3.3,1.5,50,扬州
"唐城遗址博物馆",8:30-17:00,4.3,2.5,25,扬州
"凤凰岛生态旅游区Fenghuang Island Eco-tourism Zone",8:30-17:00,4,12,40,扬州
"盂城驿Yuchengyi Museum",8:15-17:30,4.5,1,25,扬州
"龙虬庄文化遗址Longqiuzhuang Culture Ruins",8:00-18:00,4.6,1.5,25,扬州
"文游台Wenyu Tai (Wenyu Platform)",8:30-17:30,4.4,1.5,20,扬州
"魁星楼Kuixing Building",6:30-20:30,3.9,2,200,承德
"关帝庙景区Huangjia Guandimiao Sceneic Area",8:00-17:00,4.3,1.5,18,承德
"双塔山Dual Pagoda Mountain",7:30-18:00,4.6,2.5,0.5,承德
"九龙松Jiulongsong",08:00-17:30,5,1.5,10,承德
"僧冠峰Sengguan Peak",07:00-18:00,4.2,12,9.9,承德
"北沟",8:00-17:00,5,2.5,120,承德
"云山胜地Yunshan Wonderland",08:00-17:30,4.6,1,11,承德
"承德丰宁洒然嘉年华",09:00-17:00,5,4,180,承德
"流坑古村Liukeng Ancient Village",08:30-17:00,4.4,2.5,74,抚州
"唐园",08:00-22:00,5,1.5,25,抚州
"九瀑峡景区Jiupuxia Scenic Area",08:30-17:00,4.5,12,30,抚州
"大觉山索道Dajue Mountain Cableway",8:00-17:00,4.6,1.25,60,抚州
"清永陵Yongling Tombs of the Qing Dynasty",8:00-17:00,4.5,1.5,45,抚顺
"萨尔浒风景区Saerhu Scenic Area",8:00-17:00,4.5,2,7,抚顺
"云帽峰（台沟山庄）Yunmao Peak (Taigou Villa)",8:00-17:00,5,12,15,抚顺
"罗布林卡Norbulingka",09:00-16:00,4.5,2.5,1,拉萨
"色拉寺Sera Monastery",08:30-17:00,4.5,3.5,340,拉萨
"哲蚌寺Drepung Monastery",08:30-17:30,4.6,2.5,1,拉萨
"药王山Yaowang Mountain",7:00-19:00,4.6,1.5,388,拉萨
"扎基寺Zaki Temple",07:00-18:00,4.6,1.5,519,拉萨
"羊八井",9:00-17:00,4.5,3,1,拉萨
"甘丹寺Ganden Monastery",9:00-16:00,4.5,2.5,5,拉萨
"扎西半岛Tashi Peninsula",6:00-18:00,4.4,3,15,拉萨
"地质矿产博物馆Geological and Mineral Museum, Lhasa",9:00-19:00,3.7,0.75,0,拉萨
"鲁普岩寺Lu Puyansi",09:00-17:00,4.4,0.5,1,拉萨
"乃琼寺Naiqiong Temple",9:00-16:00,3.9,0.75,6,拉萨
"惠来滨荷湾旅游景区",09:00-22:00,4.7,2.5,10,揭阳
"樱山花谷Sakura Valley",8:00-17:00,3.6,2.5,26.8,揭阳
"颛顼龙洞旅游景区Longtan Cave",8:30-17:00,4.3,2.5,50,攀枝花
"青龙洞Qinglong Cave",8:00-16:00,4.6,1.5,20,攀枝花
"普者黑景区Puzhehei",8:00-18:00,4.5,108,230,文山
"坝美世外桃源景区Bamei Village",08:00-17:00,4.3,72,180,文山
"浴仙湖风景名胜区Yuxian Lake Scenic Area",8:00-19:00,4.3,2,6,文山
"普者黑玫瑰庄园Puzhehei Rose Manor",08:00-18:30,4.8,2.5,20,文山
"万仙山景区Wanxian (“Ten Thousand Divinities”) Mountain Scenic Area",7:00-18:00,4.3,108,73,新乡
"八里沟景区Baligou Scenic Area",08:00-18:00,4.3,4.5,90,新乡
"九莲山景区Jiulian Mountain Scenic Area",8:00-18:00,4.1,5.5,90,新乡
"百泉景区Baiquan Scenic Area",08:00-17:00,4.1,1,20,新乡
"潞王陵Mausoleum of King Lu",8:00-17:30,4.2,4,39,新乡
"比干庙Bigan Temple",08:00-18:00,4.6,1,40,新乡
"新乡人民公园海洋馆Aquarium of Xinxiang People's Park",9:00-17:30,4.5,2.5,37,新乡
"龙卧岩Longwoyan Village",8:30-18:00,5,2,19.9,新乡
"新余赣西抗战博物馆Xinyu Ganxi Kangzhan Museum",8:00-11:30,4.6,1.5,0,新余
"中国洞都Cave Capital of China",08:30-16:30,4.4,2.5,63,新余
"蠡园Li Garden",8:00-16:00,4.6,2.5,28,无锡
"灵山大佛Lingshan Giant Buddha",07:30-17:00,4.8,1.5,193,无锡
"宜兴竹海Yixing Zhuhai",08:00-16:30,4.6,12,70,无锡
"清名桥古运河景区Qingming Bridge Ancient Canal Scenic Area",9:00-21:30,4.5,2.5,85,无锡
"锡惠名胜区Xihui Park",8:00-17:30,4.6,12,64.9,无锡
"中视无锡影视基地Zhongshi Wuxi Film and Television Base",08:00-17:30,4.5,72,260,无锡
"太湖仙岛Taihu Lake Fairy Island",8:00-16:30,4.4,2,6,无锡
"无锡博物院Wuxi Museum",09:00-17:00,4.4,1.5,6,无锡
"三国城Three Kingdoms City",08:00-17:30,4.5,3,260,无锡
"南禅寺Nanchan Temple",07:00-16:30,4.5,1.5,0,无锡
"薛家花园Xue Family Garden",09:00-17:00,4.7,1.5,5,无锡
"蠡湖中央公园Lihu Central Park",06:30-22:00,4.5,2.5,2,无锡
"宝界山林公园",9:00-17:00,4,4,0,无锡
"善卷洞Shanjuan Cave",08:00-16:30,4.5,3.5,100,无锡
"龙池山自行车公园Longchishan Bicycle Park",8:00-17:00,4.5,1.5,28,无锡
"太湖之星摩天轮Taihu Star Ferris Wheel",10:00-20:00,4.6,0.75,60,无锡
"东林书院Donglin Academy",9:00-16:00,4.6,1,3,无锡
"华西村Huaxi Village",7:00-17:00,4.1,108,36,无锡
"鹅鼻嘴公园Erbizui Park",8:00-16:30,4.4,1.5,7,无锡
"徐霞客故居Xu Xiake Former Residence",08:00-16:30,4.6,1,5,无锡
"水浒城Shihu Town",08:00-17:30,4.6,2.5,135,无锡
"梅园Mei Garden",6:00-18:00,4.6,2.5,54.8,无锡
"唐城Tang City",08:00-16:30,4.4,1,260,无锡
"中国泥人博物馆China Clay Figurine Museum",7:30-16:00,4.4,1.5,30,无锡
"雪浪山生态园Xuelang Mountain Ecological Park",8:00-16:30,4.3,12,50,无锡
"无锡长泾老街Wuxi Changjing Ancient Street",8:30-16:30,4,2.5,19.9,无锡
"无锡海洋馆Wuxi Aquarium",8:30-17:00,4.3,2,70,无锡
"华东百畅生态休闲度假园East China Baichang Ecological Leisure Resort",8:00-17:00,4.2,12,7,无锡
"华西龙希大酒店观光区Long Wish Hotel Touristic Area",8:00-18:00,4.4,2.5,100,无锡
"锡惠园林",8:00-17:30,4.5,3,70,无锡
"曼飞龙塔Manfei Dragon Tower",7:00-17:00,4.6,2,0,无锡
"阳羡茶文化博物馆Yangxian Tea Cultural Museum",8:00-17:00,4.1,2.5,20,无锡
"龙背山森林公园Longbeishan Forest Park",8:00-19:00,4.7,3,5,无锡
"吟苑公园Yin Court Park",6:00-23:00,4.5,2.5,6,无锡
"阳山生态桃源",07:00-18:00,4.8,3,1,无锡
"龙池山Longchi Mountain",8:00-16:30,4.5,72,28,无锡
"吴文化公园Wu Culture Park",8:00-17:00,4.2,2.5,6,无锡
"徐霞客墓",8:00-16:30,4.3,0.25,40,无锡
"无锡长广溪国家湿地公园Wuxi Changguangxi National Wetland Park",10:00-22:00,4.6,1.5,1,无锡
"扎什伦布寺Tashilhunpo Monastery",09:00-19:30,4.6,2.5,1,日喀则
"卡若拉冰川Karuola Glacier",9:00-17:00,4.4,1.5,742,日喀则
"绒布寺Rongbu Temple",9:00-16:00,4.5,1.5,9,日喀则
"萨迦寺Sakya Monastery",9:00-18:30,4.5,1.5,2,日喀则
"班禅新宫",9:00-18:00,5,1,30,日喀则
"佩枯措Paiku Co",9:00-18:00,4.7,1,8,日喀则
"热拉雍仲林寺Relayong Zhonglin Temple",9:00-16:00,4,1,2019,日喀则
"平措林寺Phuntsoling Monastery",8:00-19:00,4,1,2019,日喀则
"万平口风景区Wanpingkou Beach Tourist Spot",5:00-22:30,4.4,2.5,10,日照
"五莲山风景区Wulian Mountain Scenic Spot",08:30-17:30,4.5,3.5,1,日照
"竹洞天风景区Zhudongtian Scenic Area",7:30-18:00,4.1,4,34.9,日照
"刘家湾赶海园Liujiawan Ganhai Park",8:00-17:30,4.3,3.5,6,日照
"九仙山风景区Jiuxian Mountain Scenic Area",05:00-18:00,4.3,72,9,日照
"桃花岛风情园Taohua Island Customs Park",7:00-18:00,3.6,2.5,80,日照
"大青山风景区Daqingshan Tourist Site",7:00-18:00,4.4,12,34.8,日照
"浮来山风景区Fulaishan Scenic Area",8:30-17:00,4.5,4,5,日照
"日照文山茶博园",8:30-18:00,4.5,2.5,26,日照
"昆明瀑布公园The Waterfall Park of Kunming",9:00-17:00,4.5,1,2,昆明
"滇池Dian Lake",9:00-18:00,4.6,1.5,75,昆明
"翠湖公园Green Lake Park",06:30-22:00,4.5,2.5,3,昆明
"云南民族村Yunnan Ethnic Village",09:00-18:00,4.5,12,79.8,昆明
"云南野生动物园Yunnan Zoo",9:00-16:30,4.3,4.5,100,昆明
"七彩云南古滇名城Colorful Yunnan Ancient City",8:00-20:00,4.6,12,195,昆明
"石林冰雪海洋世界Shilin Ice and Snow Ocean World",09:00-18:00,4.5,1.5,138,昆明
"石林风景区Stone Forest",07:30-17:30,4.6,72,140,昆明
"龙门Longmen",09:00-17:00,4.6,1.5,12.5,昆明
"昆明动物园Kunming Zoo",8:00-18:00,4.5,2.5,20,昆明
"轿子雪山Jiaozi Snow Mountain",8:30-15:30,4.6,72,194.9,昆明
"黑龙潭公园Black Dragon Pond Park",9:00-17:00,4.6,1.5,5,昆明
"九乡Jiuxiang",8:00-18:00,4.7,2.5,60,昆明
"世界园艺博览园World Horti-Expo Garden",08:30-17:00,3.8,3.5,1.8,昆明
"青龙峡Qinglongxia",9:00-17:00,4.2,12,30,昆明
"滇池西山索道Dianchi Xishan Cableway",9:00-17:00,4.7,0.75,40,昆明
"大观公园Daguan Park",7:00-19:00,4.6,1.5,69,昆明
"宝海公园Baohai Park",8:00-19:00,4.4,3,7,昆明
"三清阁Sanqing Pavilion",8:30-17:00,4.6,1,7,昆明
"西游洞Xiyou Cave",8:30-18:30,4.2,2.5,128,昆明
"南洋华侨机工抗日纪念碑Southeast Asia Mechanic Anti-Japanese Monument",08:00-18:00,4.5,0.05,0,昆明
"岩泉风景区Yanquan Scenic Area (Northeast Gate)",7:00-17:00,4.5,72,10,昆明
"郊野公园Kunming Country Park",9:00-15:00,4.3,1.5,7,昆明
"飞龙潭East Xiaotianchi",8:30-19:00,4.5,1,108,昌吉
"王母祖庙Xiwangmu Ancestral Temple",8:00-18:00,4,1.5,369,昌吉
"海尾湿地公园",8:00-18:00,4,1,0,昌江
"孟孝琚碑Monument of Meng Xiaoju",8:00-17:30,4.3,2,5,昭通
"大山包Dashanbao",7:00-19:00,4.3,3.5,0,昭通
"观斗山石雕Guandou Mountain Stone Carving",8:00-18:00,4.7,1,38,昭通
"山海洞Sanhaidong",09:00-18:00,4.8,2.5,90,昭通
"常家庄园The Mansion of the Changs",08:00-18:30,4.8,2.5,64,晋中
"山西王家大院Wang Family Courtyard",08:30-17:20,4.7,2.5,55,晋中
"平遥古县衙Pingyao Ancient Government Office",8:00-18:00,4.6,1,65,晋中
"张壁古堡Zhangbi Ancient Castle",08:00-17:00,4.6,2,60,晋中
"市楼",8:00-19:30,4.3,1.5,5,晋中
"协同庆票号(中国钱庄博物馆)Xietongqing",8:00-17:15,4.6,1,65,晋中
"榆次老城Yuci Old Town",08:00-17:30,4.3,3.5,75,晋中
"后沟古村Hougou Ancient Village",8:00-18:00,4.3,3,31.8,晋中
"汇武林博物馆",8:00-19:30,4.3,1.25,65,晋中
"云竹湖Yunzhu Lake",9:00-18:00,4.4,2.5,29,晋中
"石膏山Shigao Mountain",7:00-19:00,4.5,3,258,晋中
"孔祥熙宅院Kong Xiangxi House",08:00-18:30,4.2,2,7,晋中
"王莽岭风景区Wangmang Ridge",08:00-16:00,4.5,5.75,9,晋城
"蟒河生态旅游区Manghe Eco-Tourism Area",08:00-17:30,4.4,2.5,30,晋城
"九女仙湖Jiunu Fairy Lake",8:00-17:00,4.2,3,9,晋城
"珏山Jueshan Mountain",8:00-5:00,4.6,3.5,50,晋城
